 Theta Psi Nu P Q
  0.42725660E+00  0.40172875E+00 -0.20870013E-08  0.40000000E+01  0.25000000E+02
  0.25132741E-01  0.37719811E+00 -0.43082716E-09  0.40000000E+01  0.25000000E+02
  0.32421236E+01  0.47414788E+00  0.25379784E-08  0.40000000E+01  0.25000000E+02
  0.59313269E+01  0.39335615E+00 -0.46242664E-10  0.40000000E+01  0.25000000E+02
  0.28399998E+01  0.47207633E+00 -0.16663882E-08  0.40000000E+01  0.25000000E+02
  0.82938046E+00  0.47349474E+00 -0.25426689E-08  0.40000000E+01  0.25000000E+02
  0.51773447E+01  0.60419453E+00  0.27424560E-08  0.40000000E+01  0.25000000E+02
  0.36693802E+01  0.47792047E+00 -0.27485078E-08  0.40000000E+01  0.25000000E+02
  0.50265482E-01  0.37750050E+00 -0.15111334E-08  0.40000000E+01  0.25000000E+02
  0.45238934E+00  0.40454743E+00 -0.26856150E-08  0.40000000E+01  0.25000000E+02
  0.32672564E+01  0.47411742E+00  0.15427545E-08  0.40000000E+01  0.25000000E+02
  0.28651325E+01  0.47210104E+00 -0.28722413E-09  0.40000000E+01  0.25000000E+02
  0.59564597E+01  0.39113061E+00 -0.12377749E-08  0.40000000E+01  0.25000000E+02
  0.85451320E+00  0.48107922E+00 -0.17836609E-08  0.40000000E+01  0.25000000E+02
  0.36945130E+01  0.47936967E+00 -0.22438645E-08  0.40000000E+01  0.25000000E+02
  0.75398224E-01  0.37797809E+00 -0.23300101E-08  0.40000000E+01  0.25000000E+02
  0.47752208E+00  0.40751639E+00 -0.27183275E-08  0.40000000E+01  0.25000000E+02
  0.32923891E+01  0.47405978E+00  0.75058030E-10  0.40000000E+01  0.25000000E+02
  0.28902652E+01  0.47218685E+00  0.11869892E-08  0.40000000E+01  0.25000000E+02
  0.59815924E+01  0.38906034E+00 -0.21830530E-08  0.40000000E+01  0.25000000E+02
  0.87964594E+00  0.48927118E+00 -0.65413233E-09  0.40000000E+01  0.25000000E+02
  0.14325663E+01  0.10787507E+01  0.16758281E-08  0.40000000E+01  0.25000000E+02
  0.57302650E+01  0.41690569E+00 -0.13258838E-08  0.40000000E+01  0.25000000E+02
  0.37196457E+01  0.48110612E+00 -0.12157009E-08  0.40000000E+01  0.25000000E+02
  0.10053096E+00  0.37862948E+00 -0.27426768E-08  0.40000000E+01  0.25000000E+02
  0.50265482E+00  0.41064197E+00 -0.21773070E-08  0.40000000E+01  0.25000000E+02
  0.33175218E+01  0.47398010E+00 -0.14116137E-08  0.40000000E+01  0.25000000E+02
  0.29153980E+01  0.47231994E+00  0.23210076E-08  0.40000000E+01  0.25000000E+02
  0.60067252E+01  0.38714686E+00 -0.27067278E-08  0.40000000E+01  0.25000000E+02
  0.90477868E+00  0.49812951E+00  0.61163622E-09  0.40000000E+01  0.25000000E+02
  0.14576990E+01  0.11487321E+01  0.26314854E-08  0.40000000E+01  0.25000000E+02
  0.12566371E+00  0.37945285E+00 -0.26724742E-08  0.40000000E+01  0.25000000E+02
  0.37447784E+01  0.48315668E+00  0.91599911E-10  0.40000000E+01  0.25000000E+02
  0.52778757E+00  0.41393298E+00 -0.11724440E-08  0.40000000E+01  0.25000000E+02
  0.33426546E+01  0.47388531E+00 -0.24642269E-08  0.40000000E+01  0.25000000E+02
  0.29405307E+01  0.47248779E+00  0.27767627E-08  0.40000000E+01  0.25000000E+02
  0.60318579E+01  0.38539215E+00 -0.27187000E-08  0.40000000E+01  0.25000000E+02
  0.15079645E+00  0.38044596E+00 -0.21257517E-08  0.40000000E+01  0.25000000E+02
  0.92991143E+00  0.50771868E+00  0.17561332E-08  0.40000000E+01  0.25000000E+02
