 Theta Psi Nu P Q
  0.14199999E+01  0.62167021E+00 -0.62493283E-09  0.30000000E+01  0.19000000E+02
  0.49762828E+01  0.52151864E+00  0.93395209E-09  0.30000000E+01  0.19000000E+02
  0.52778757E+01  0.35064682E+00  0.10221349E-08  0.30000000E+01  0.19000000E+02
  0.45615925E+01  0.63700502E+00 -0.74228022E-09  0.30000000E+01  0.19000000E+02
  0.14325663E+01  0.63328571E+00 -0.22784524E-09  0.30000000E+01  0.19000000E+02
  0.18598229E+01  0.52738966E+00  0.24674017E-09  0.30000000E+01  0.19000000E+02
  0.21614157E+01  0.37503457E+00  0.39002937E-09  0.30000000E+01  0.19000000E+02
  0.37070793E+01  0.29222619E+00  0.10056185E-08  0.30000000E+01  0.19000000E+02
  0.32798227E+01  0.27013692E+00  0.94221046E-09  0.30000000E+01  0.19000000E+02
  0.45741589E+01  0.64719288E+00 -0.37302851E-09  0.30000000E+01  0.19000000E+02
  0.14451326E+01  0.64470289E+00  0.22612677E-09  0.30000000E+01  0.19000000E+02
  0.49888491E+01  0.51148177E+00  0.75555605E-09  0.30000000E+01  0.19000000E+02
  0.18723892E+01  0.51855079E+00 -0.71686990E-10  0.30000000E+01  0.19000000E+02
  0.52904420E+01  0.34606309E+00  0.98017651E-09  0.30000000E+01  0.19000000E+02
  0.21739821E+01  0.37091380E+00  0.17759234E-09  0.30000000E+01  0.19000000E+02
  0.45867253E+01  0.65713703E+00  0.79600514E-10  0.30000000E+01  0.19000000E+02
  0.14576990E+01  0.65579796E+00  0.64797434E-09  0.30000000E+01  0.19000000E+02
  0.32923891E+01  0.27034879E+00  0.10034219E-08  0.30000000E+01  0.19000000E+02
  0.37196457E+01  0.29353237E+00  0.10273164E-08  0.30000000E+01  0.19000000E+02
  0.50014155E+01  0.50172678E+00  0.51059108E-09  0.30000000E+01  0.19000000E+02
  0.18849556E+01  0.50995066E+00 -0.37638791E-09  0.30000000E+01  0.19000000E+02
  0.45992916E+01  0.66672954E+00  0.52842835E-09  0.30000000E+01  0.19000000E+02
  0.14702654E+01  0.66642971E+00  0.94111116E-09  0.30000000E+01  0.19000000E+02
  0.53030084E+01  0.34162690E+00  0.89968412E-09  0.30000000E+01  0.19000000E+02
  0.21865485E+01  0.36692826E+00 -0.41112666E-10  0.30000000E+01  0.19000000E+02
  0.33049555E+01  0.27057973E+00  0.10273910E-08  0.30000000E+01  0.19000000E+02
  0.50139819E+01  0.49225638E+00  0.22611255E-09  0.30000000E+01  0.19000000E+02
  0.46118580E+01  0.67584813E+00  0.87356704E-09  0.30000000E+01  0.19000000E+02
  0.14828317E+01  0.67644130E+00  0.10243830E-08  0.30000000E+01  0.19000000E+02
  0.18975220E+01  0.50159056E+00 -0.64097878E-09  0.30000000E+01  0.19000000E+02
  0.37322121E+01  0.29489121E+00  0.10123810E-08  0.30000000E+01  0.19000000E+02
  0.53155748E+01  0.33733301E+00  0.78503506E-09  0.30000000E+01  0.19000000E+02
  0.33175218E+01  0.27083018E+00  0.10127664E-08  0.30000000E+01  0.19000000E+02
  0.46244244E+01  0.68435711E+00  0.10252171E-08  0.30000000E+01  0.19000000E+02
  0.21991149E+01  0.36307369E+00 -0.25615387E-09  0.30000000E+01  0.19000000E+02
  0.14953981E+01  0.68566413E+00  0.85848248E-09  0.30000000E+01  0.19000000E+02
  0.50265482E+01  0.48307071E+00 -0.70610795E-10  0.30000000E+01  0.19000000E+02
  0.19100883E+01  0.49347013E+00 -0.84500632E-09  0.30000000E+01  0.19000000E+02
  0.46369908E+01  0.69210970E+00  0.93023355E-09  0.30000000E+01  0.19000000E+02
  0.15079645E+01  0.69392386E+00  0.46685064E-09  0.30000000E+01  0.19000000E+02
  0.33300882E+01  0.27110061E+00  0.96064688E-09  0.30000000E+01  0.19000000E+02
  0.37447784E+01  0.29630430E+00  0.96128188E-09  0.30000000E+01  0.19000000E+02
  0.53281411E+01  0.33317639E+00  0.64165807E-09  0.30000000E+01  0.19000000E+02
  0.22116812E+01  0.35934598E+00 -0.45816241E-09  0.30000000E+01  0.19000000E+02
  0.46495571E+01  0.69895197E+00  0.59479705E-09  0.30000000E+01  0.19000000E+02
  0.50391146E+01  0.47416786E+00 -0.35461421E-09  0.30000000E+01  0.19000000E+02
  0.15205308E+01  0.70104886E+00 -0.59002031E-10  0.30000000E+01  0.19000000E+02
  0.19226547E+01  0.48558773E+00 -0.97558113E-09  0.30000000E+01  0.19000000E+02
  0.33426546E+01  0.27139152E+00  0.87294679E-09  0.30000000E+01  0.19000000E+02
  0.53407075E+01  0.32915221E+00  0.47573189E-09  0.30000000E+01  0.19000000E+02
  0.46621235E+01  0.70472869E+00  0.93639201E-10  0.30000000E+01  0.19000000E+02
  0.15330972E+01  0.70688048E+00 -0.57708583E-09  0.30000000E+01  0.19000000E+02
  0.37573448E+01  0.29777332E+00  0.87575565E-09  0.30000000E+01  0.19000000E+02
  0.22242476E+01  0.35574114E+00 -0.63869584E-09  0.30000000E+01  0.19000000E+02
  0.50516810E+01  0.46554434E+00 -0.60476826E-09  0.30000000E+01  0.19000000E+02
  0.33552210E+01  0.27170346E+00  0.75298515E-09  0.30000000E+01  0.19000000E+02
  0.19352211E+01  0.47794066E+00 -0.10265785E-08  0.30000000E+01  0.19000000E+02
  0.46746899E+01  0.70929095E+00 -0.44181323E-09  0.30000000E+01  0.19000000E+02
  0.15456636E+01  0.71128416E+00 -0.93481739E-09  0.30000000E+01  0.19000000E+02
  0.53532739E+01  0.32525583E+00  0.29407666E-09  0.30000000E+01  0.19000000E+02
  0.22368140E+01  0.35225535E+00 -0.79053079E-09  0.30000000E+01  0.19000000E+02
  0.46872562E+01  0.71250525E+00 -0.85789866E-09  0.30000000E+01  0.19000000E+02
  0.37699112E+01  0.29929996E+00  0.75877015E-09  0.30000000E+01  0.19000000E+02
  0.15582300E+01  0.71416002E+00 -0.10195446E-08  0.30000000E+01  0.19000000E+02
  0.33677873E+01  0.27203702E+00  0.60528217E-09  0.30000000E+01  0.19000000E+02
  0.50642474E+01  0.45719542E+00 -0.80483231E-09  0.30000000E+01  0.19000000E+02
  0.19477874E+01  0.47052542E+00 -0.99861374E-09  0.30000000E+01  0.19000000E+02
  0.40840704E+01  0.36249260E+00  0.83790309E-09  0.30000000E+01  0.19000000E+02
  0.46998226E+01  0.71426327E+00 -0.10269496E-08  0.30000000E+01  0.19000000E+02
  0.15707963E+01  0.71545121E+00 -0.80038464E-09  0.30000000E+01  0.19000000E+02
